ts, hgm, particle
0.00000000,0.48555753,0.50152449
0.90000000,1.02538929,1.02534961
1.90000000,1.33590004,1.34364581
2.90000000,1.52336056,1.51354818
3.90000000,1.70472424,1.70403069
4.90000000,1.64427728,1.68612650
5.90000000,1.54199492,1.55681139
6.90000000,1.50219587,1.51507711
7.90000000,1.57522706,1.64860250
8.90000000,1.73193417,1.77523390
9.90000000,1.75163161,1.78591706
10.90000000,1.85844822,1.90318637
11.90000000,2.03754811,2.10274650
12.90000000,1.90146695,1.96686774
13.90000000,1.95389057,1.98956327
14.90000000,1.86137789,1.90216707
15.90000000,2.11762734,2.15279206
16.90000000,2.09180594,2.13847958
17.90000000,2.23448163,2.22856361
18.90000000,2.00211566,2.02542280
19.90000000,1.74110725,1.88531416
20.90000000,1.77213700,2.05987269
21.90000000,1.70442692,1.97100743
22.90000000,1.56681281,1.72726960
23.90000000,1.90874740,1.95752865
24.90000000,1.74284351,1.82513275
25.90000000,1.57735896,1.78682872
26.90000000,1.96792746,2.11063905
27.90000000,1.67138510,1.82927872
28.90000000,1.77562026,1.82414173
29.90000000,1.68761689,1.82847082
30.90000000,1.86864801,1.98412982
31.90000000,1.71298583,1.88807889
32.90000000,1.81145695,1.88995468
33.90000000,1.61225947,1.69852419
34.90000000,1.62278737,1.66442651
35.90000000,1.68142828,1.76272831
36.90000000,1.85027005,1.94363741
37.90000000,2.01604272,2.19231335
38.90000000,1.94104350,2.03731521
39.90000000,1.91766314,1.89579782
40.90000000,1.28878877,1.45514827
41.90000000,1.31204350,1.57134891
42.90000000,1.65137674,1.78411131
43.90000000,1.71326626,1.78209435
44.90000000,1.85145990,1.79879583
45.90000000,1.68662025,1.71001281
46.90000000,1.83393585,1.84973896
47.90000000,1.77665245,1.72278910
48.90000000,1.63773273,1.65312492
49.90000000,1.60398771,1.62051865
50.90000000,1.93242628,1.90398251
51.90000000,1.92257560,1.91586647
52.90000000,1.88698034,1.82435881
53.90000000,1.83493424,1.82091808
54.90000000,1.57021921,1.55685238
55.90000000,1.46288709,1.49036058
56.90000000,1.21790159,1.29114720
57.90000000,1.49529131,1.48908016
58.90000000,1.63559288,1.54984069
59.90000000,1.17330690,1.25409817
60.90000000,1.45671319,1.57488373
61.90000000,1.36897641,1.58147102
62.90000000,1.59626825,1.70507563
63.90000000,1.34286570,1.48127643
64.90000000,1.43800379,1.46238981
65.90000000,1.56608821,1.69402249
66.90000000,1.56428640,1.56579154
67.90000000,1.56390946,1.51868156
68.90000000,1.54359395,1.54038725
69.90000000,1.50104254,1.49046814
70.90000000,1.39138919,1.37150379
71.90000000,1.23187714,1.24446305
72.90000000,1.19264667,1.25861526
73.90000000,1.29746745,1.39313213
74.90000000,1.12338558,1.16223006
75.90000000,1.12492429,1.20403229
76.90000000,1.16738932,1.28252761
77.90000000,1.29491376,1.39543529
78.90000000,1.34398817,1.42904481
79.90000000,1.25773726,1.36416500
80.90000000,1.31996360,1.43278650
81.90000000,1.23184682,1.41396671
82.90000000,1.49921832,1.59457151
83.90000000,1.47185055,1.56618101
84.90000000,1.36768314,1.64441467
85.90000000,1.34733316,1.53708331
86.90000000,1.45162569,1.55063098
87.90000000,1.63065592,1.67236052
88.90000000,1.49527383,1.54652069
89.90000000,1.58550831,1.67951593
90.90000000,1.74001321,1.79391065
91.90000000,1.83258969,1.84187776
92.90000000,1.52365808,1.65367701
93.90000000,1.62149119,1.57474079
94.90000000,1.76754429,1.71541450
95.90000000,1.38308470,1.39945850
96.90000000,1.58948285,1.55282232
97.90000000,1.54380150,1.62510364
98.90000000,1.35755391,1.41672102
