t,err_hgm,err_particle
0.00000000,0.48959072,0.48622304
0.99000000,0.62092300,0.67385299
1.99000000,0.93858421,1.08875268
2.99000000,1.30201665,1.41860779
3.99000000,1.47266674,1.67011687
4.99000000,1.81862319,1.97154832
5.99000000,1.80686439,2.00621019
6.99000000,1.83112521,2.05912764
7.99000000,1.52290727,1.78252851
8.99000000,1.71328114,1.87545382
9.99000000,1.86070592,2.04787988
10.99000000,1.79824534,2.02175002
11.99000000,1.99370216,2.15805021
12.99000000,1.97110113,2.02061652
13.99000000,2.02913686,2.11109496
14.99000000,2.18141462,2.27880044
15.99000000,2.20785311,2.31100284
16.99000000,2.12341521,2.26846023
17.99000000,2.08585105,2.23112452
18.99000000,2.08989207,2.30981222
19.99000000,1.93732266,2.23172287
20.99000000,1.85437981,2.14827351
21.99000000,1.91332769,2.20925074
22.99000000,1.99031374,2.37269329
23.99000000,2.14854015,2.39891157
24.99000000,1.73042835,2.12202194
25.99000000,1.80361100,2.13307401
26.99000000,2.08836570,2.17279034
27.99000000,1.87727940,1.99574921
28.99000000,1.91346286,2.00557088
29.99000000,1.85115109,1.97806388
30.99000000,1.75779019,1.95649425
31.99000000,1.85352827,1.91596434
32.99000000,1.90677946,1.95779536
33.99000000,1.83808953,2.01808431
34.99000000,1.56756728,1.88505188
35.99000000,1.44225273,1.61531789
36.99000000,1.49989516,1.64821762
37.99000000,1.83431392,1.93024259
38.99000000,1.85114806,1.88868894
39.99000000,1.85009062,1.88612332
40.99000000,1.49955567,1.70851917
41.99000000,1.47542400,1.69327955
42.99000000,1.69203956,1.73481358
43.99000000,1.85554726,1.89582118
44.99000000,2.05739883,2.13018872
45.99000000,2.04641372,2.04816181
46.99000000,2.02565884,2.05914854
47.99000000,1.94875762,2.00723798
48.99000000,1.73933156,1.82441754
49.99000000,1.61091407,1.72569347
50.99000000,1.59074497,1.71667676
51.99000000,1.35317555,1.60333370
52.99000000,1.33520683,1.48890306
53.99000000,1.29167927,1.51634414
54.99000000,1.38413260,1.49364339
55.99000000,1.31525111,1.44719858
56.99000000,1.68573228,1.74424230
57.99000000,1.36404100,1.49113801
58.99000000,1.32777536,1.59713491
59.99000000,1.61820852,1.73077930
60.99000000,1.47323642,1.66782738
61.99000000,1.53882730,1.78006727
62.99000000,1.49783234,1.70746742
63.99000000,1.45844033,1.61673702
64.99000000,1.61534218,1.67141232
65.99000000,1.69058161,1.82931711
66.99000000,1.68090608,1.83842372
67.99000000,1.88124153,2.01497827
68.99000000,1.40297609,1.62835672
69.99000000,1.50798830,1.65788762
70.99000000,1.81098306,1.99886487
71.99000000,1.73840200,1.91645903
72.99000000,1.52778951,1.74851114
73.99000000,1.43563937,1.55326643
74.99000000,1.38635486,1.58443435
75.99000000,1.30909446,1.32155458
76.99000000,1.28676960,1.43843200
77.99000000,1.32195656,1.51119766
78.99000000,1.08376888,1.27920615
79.99000000,1.07142014,1.23120172
80.99000000,1.29853248,1.44067212
81.99000000,1.20276842,1.38226802
82.99000000,1.14595429,1.40286508
83.99000000,1.35313478,1.42174923
84.99000000,1.25725200,1.41227079
85.99000000,1.38625515,1.50407980
86.99000000,1.24026064,1.49387012
87.99000000,1.40860496,1.62464950
88.99000000,1.42769411,1.55606073
89.99000000,1.26946045,1.52025507
90.99000000,1.29230186,1.51897813
91.99000000,1.21836384,1.40776439
92.99000000,1.33378610,1.49638007
93.99000000,1.42306910,1.53445042
94.99000000,1.56111992,1.61679998
95.99000000,1.60136293,1.78345126
96.99000000,1.37949666,1.62205440
97.99000000,1.42532491,1.60367182
98.99000000,1.41041234,1.53641036
