t,x
0.00000000,10.00000000
0.00000000,10.17140523
0.01000000,10.26419333
0.02000000,10.48315055
0.03000000,10.66466478
0.04000000,10.56160466
0.05000000,10.65133270
0.06000000,10.63087131
0.07000000,10.61523399
0.08000000,10.65098622
0.09000000,10.66006509
0.10000000,10.80016240
0.11000000,10.87086610
0.12000000,10.87759816
0.13000000,10.91654569
0.14000000,10.94445485
0.15000000,11.08839053
0.16000000,11.06233051
0.17000000,11.08810611
0.18000000,10.99715248
0.19000000,10.73635493
0.20000000,10.79634861
0.21000000,10.87739405
0.22000000,10.79773885
0.23000000,11.01931545
0.24000000,10.86836922
0.25000000,10.86751089
0.26000000,10.84335875
0.27000000,10.99121499
0.28000000,11.13265526
0.29000000,11.14258368
0.30000000,11.17482864
0.31000000,11.08046265
0.32000000,10.87684277
0.33000000,10.83661313
0.34000000,10.84682972
0.35000000,10.96443538
0.36000000,11.07919114
0.37000000,11.03491887
0.38000000,10.99917113
0.39000000,10.88881625
0.40000000,10.74137005
0.41000000,10.56537234
0.42000000,10.75516720
0.43000000,10.69882439
0.44000000,10.64966755
0.45000000,10.51906318
0.46000000,10.59155269
0.47000000,10.42486713
0.48000000,10.39838066
0.49000000,10.30363482
0.50000000,10.33717325
0.51000000,10.28092415
0.52000000,10.15772047
0.53000000,10.14982339
0.54000000,10.18758166
0.55000000,10.18913959
0.56000000,10.21429221
0.57000000,10.14575286
0.58000000,10.10440586
0.59000000,10.03210762
0.60000000,9.99113625
0.61000000,9.90482605
0.62000000,9.72724538
0.63000000,9.74012437
0.64000000,9.69507621
0.65000000,9.52720884
0.66000000,9.56872346
0.67000000,9.47320926
0.68000000,9.47366720
0.69000000,9.54183942
0.70000000,9.54996679
0.71000000,9.65913188
0.72000000,9.53081973
0.73000000,9.56628848
0.74000000,9.49302433
0.75000000,9.40119810
0.76000000,9.33861254
0.77000000,9.30278798
0.78000000,9.30375312
0.79000000,9.18258626
0.80000000,9.26807761
0.81000000,9.31000982
0.82000000,9.15173044
0.83000000,9.29597980
0.84000000,9.48092073
0.85000000,9.59405822
0.86000000,9.57126871
0.87000000,9.45940781
0.88000000,9.56012328
0.89000000,9.51502553
0.90000000,9.63251252
0.91000000,9.64852376
0.92000000,9.74136340
0.93000000,9.77212936
0.94000000,9.83790061
0.95000000,9.83403167
0.96000000,10.00770170
0.97000000,10.01538906
0.98000000,10.05058030
0.99000000,10.23387008
1.00000000,10.09397724
1.01000000,10.18586992
1.02000000,10.06346464
1.03000000,10.25279503
1.04000000,10.20630674
1.05000000,10.12645810
1.06000000,10.31368907
1.07000000,10.45658371
1.08000000,10.63811131
1.09000000,10.72339672
1.10000000,10.63191246
1.11000000,10.81760300
1.12000000,10.78539386
1.13000000,10.86024680
1.14000000,10.94954187
1.15000000,10.92856609
1.16000000,10.98450975
1.17000000,11.07123816
1.18000000,11.10334509
1.19000000,10.98785334
1.20000000,11.01218323
1.21000000,11.13931573
1.22000000,11.06428929
1.23000000,11.04379369
1.24000000,10.99475644
1.25000000,11.17418543
1.26000000,11.23582781
1.27000000,11.27095608
1.28000000,11.18832900
1.29000000,11.23665975
1.30000000,11.16360816
1.31000000,11.16120941
1.32000000,11.09204420
1.33000000,11.15414150
1.34000000,11.20622351
1.35000000,11.17979053
1.36000000,11.21380130
1.37000000,11.09888825
1.38000000,10.94421305
1.39000000,10.98268011
1.40000000,10.99385612
1.41000000,11.05186234
1.42000000,11.28465088
1.43000000,11.37345651
1.44000000,11.27648756
1.45000000,11.38255094
1.46000000,11.24526892
1.47000000,11.19348783
1.48000000,11.18106692
1.49000000,11.34681066
1.50000000,11.26666178
1.51000000,11.17838459
1.52000000,11.16295015
1.53000000,11.09102084
1.54000000,11.19813892
1.55000000,11.08454670
1.56000000,10.96425757
1.57000000,10.91499343
1.58000000,10.85973269
1.59000000,11.04725603
1.60000000,11.13667448
1.61000000,11.13986127
1.62000000,11.01174779
1.63000000,11.09067821
1.64000000,10.98511134
1.65000000,10.82514167
1.66000000,10.93853208
1.67000000,10.96475707
1.68000000,11.05136058
1.69000000,11.07770766
1.70000000,11.15785187
1.71000000,11.08717039
1.72000000,10.97820252
1.73000000,11.04087287
1.74000000,10.95501146
1.75000000,10.88057898
1.76000000,10.82958544
1.77000000,10.82591856
1.78000000,10.78510621
1.79000000,10.64221853
1.80000000,10.57253558
1.81000000,10.34490900
1.82000000,10.40225969
1.83000000,10.23685279
1.84000000,10.12129603
1.85000000,10.12145189
1.86000000,10.04243487
1.87000000,10.19171511
1.88000000,10.05733356
1.89000000,10.07900998
1.90000000,10.07004219
1.91000000,9.94819782
1.92000000,9.99555139
1.93000000,9.97339898
1.94000000,10.04559134
1.95000000,10.12291896
1.96000000,10.33418109
1.97000000,10.46266680
1.98000000,10.42051728
1.99000000,10.39136910
2.00000000,10.49613938
2.01000000,10.55490446
2.02000000,10.38793140
2.03000000,10.38030483
2.04000000,10.30131158
2.05000000,10.32415339
2.06000000,10.30917627
2.07000000,10.39503957
2.08000000,10.42156388
2.09000000,10.49498589
2.10000000,10.44309649
2.11000000,10.34343031
2.12000000,10.29725363
2.13000000,10.29040296
2.14000000,10.32317293
2.15000000,10.54394224
2.16000000,10.53444456
2.17000000,10.43358283
2.18000000,10.39376786
2.19000000,10.34221138
2.20000000,10.38518842
2.21000000,10.22591613
2.22000000,10.22712937
2.23000000,10.23766646
2.24000000,10.25576573
2.25000000,10.19090624
2.26000000,10.16201861
2.27000000,10.01453151
2.28000000,9.96019226
2.29000000,9.90092602
2.30000000,9.93758056
2.31000000,9.81699352
2.32000000,9.89020484
2.33000000,10.03470819
2.34000000,9.82269233
2.35000000,9.86040686
2.36000000,9.92316746
2.37000000,9.85446217
2.38000000,9.80980776
2.39000000,9.79161480
2.40000000,9.75693990
2.41000000,9.72116014
2.42000000,9.54869918
2.43000000,9.65915798
2.44000000,9.76229026
2.45000000,9.67607269
2.46000000,9.52459222
2.47000000,9.57193641
2.48000000,9.50957165
2.49000000,9.51901218
2.50000000,9.48231983
2.51000000,9.54673255
2.52000000,9.61143410
2.53000000,9.53406864
2.54000000,9.39096521
2.55000000,9.22797589
2.56000000,9.28439984
2.57000000,9.16087171
2.58000000,9.10560964
2.59000000,9.04142543
2.60000000,9.03164799
2.61000000,8.83350419
2.62000000,8.84796529
2.63000000,8.89593041
2.64000000,8.90032466
2.65000000,8.86478588
2.66000000,8.87009350
2.67000000,8.90556309
2.68000000,8.62385103
2.69000000,8.81513034
2.70000000,8.84973210
2.71000000,8.78006638
2.72000000,8.73658101
2.73000000,8.78158690
2.74000000,8.76558571
2.75000000,8.55813447
2.76000000,8.76030469
2.77000000,8.74487047
2.78000000,8.84251531
2.79000000,8.76888906
2.80000000,8.91814232
2.81000000,8.94231762
2.82000000,8.99873085
2.83000000,8.88970614
2.84000000,9.00637582
2.85000000,9.07085445
2.86000000,9.19650364
2.87000000,9.12909664
2.88000000,9.07642938
2.89000000,9.30228283
2.90000000,9.19163011
2.91000000,9.17343932
2.92000000,9.28254174
2.93000000,9.28767297
2.94000000,9.34132450
2.95000000,9.29670893
2.96000000,9.32906617
2.97000000,9.19374895
2.98000000,9.35496514
2.99000000,9.33847125
3.00000000,9.26578420
3.01000000,9.21507933
3.02000000,9.07704594
3.03000000,8.93783567
3.04000000,9.00274406
3.05000000,8.98228535
3.06000000,8.96442405
3.07000000,9.06771622
3.08000000,8.95049978
3.09000000,8.87295675
3.10000000,8.83003230
3.11000000,8.83505244
3.12000000,8.82641777
3.13000000,8.79331584
3.14000000,8.78275654
3.15000000,8.76763463
3.16000000,8.69129038
3.17000000,8.60564543
3.18000000,8.62879425
3.19000000,8.53538834
3.20000000,8.41538512
3.21000000,8.37994820
3.22000000,8.35999153
3.23000000,8.58148388
3.24000000,8.50672311
3.25000000,8.59679582
3.26000000,8.66721626
3.27000000,8.54398816
3.28000000,8.61704146
3.29000000,8.49434487
3.30000000,8.22418048
3.31000000,8.28070034
3.32000000,8.10097093
3.33000000,8.14201389
3.34000000,8.06954180
3.35000000,8.23146210
3.36000000,8.33419731
3.37000000,8.28469163
3.38000000,8.21176553
3.39000000,8.08625190
3.40000000,8.03811652
3.41000000,8.00606191
3.42000000,7.96558952
3.43000000,7.97727711
3.44000000,8.03114062
3.45000000,8.06209050
3.46000000,7.98164506
3.47000000,7.83387509
3.48000000,7.96641134
3.49000000,7.89348322
3.50000000,7.82430711
3.51000000,7.76827603
3.52000000,7.58008494
3.53000000,7.52849749
3.54000000,7.47676766
3.55000000,7.53506511
3.56000000,7.60114329
3.57000000,7.59771981
3.58000000,7.68710579
3.59000000,7.71725873
3.60000000,7.71183189
3.61000000,7.72406879
3.62000000,7.70114141
3.63000000,7.65780589
3.64000000,7.62720363
3.65000000,7.51058889
3.66000000,7.53487777
3.67000000,7.43179797
3.68000000,7.51224520
3.69000000,7.48354322
3.70000000,7.48475094
3.71000000,7.53039225
3.72000000,7.59095850
3.73000000,7.43010068
3.74000000,7.40569526
3.75000000,7.49001030
3.76000000,7.31645471
3.77000000,7.35152454
3.78000000,7.12229235
3.79000000,7.01648052
3.80000000,7.01683533
3.81000000,6.84765541
3.82000000,6.74568050
3.83000000,6.59512416
3.84000000,6.75664009
3.85000000,6.76968455
3.86000000,6.82302874
3.87000000,6.79734971
3.88000000,6.75860786
3.89000000,6.59358114
3.90000000,6.56110061
3.91000000,6.48167084
3.92000000,6.56422240
3.93000000,6.67505047
3.94000000,6.81837082
3.95000000,6.90021683
3.96000000,6.83690133
3.97000000,6.72189318
3.98000000,6.79519855
3.99000000,6.82743023
4.00000000,6.64716267
4.01000000,6.72529107
4.02000000,6.72782098
4.03000000,6.70595171
4.04000000,6.62183388
4.05000000,6.47386950
4.06000000,6.55066236
4.07000000,6.51647558
4.08000000,6.48987068
4.09000000,6.65989786
4.10000000,6.72501802
4.11000000,6.75873801
4.12000000,6.76956482
4.13000000,6.91817953
4.14000000,7.08667937
4.15000000,7.17608654
4.16000000,7.23072096
4.17000000,7.01764529
4.18000000,7.02650866
4.19000000,7.00998471
4.20000000,7.01587504
4.21000000,7.10667171
4.22000000,6.82915066
4.23000000,6.76880488
4.24000000,6.79241091
