t, y, hgm, particle40, particle1000, efk
0.00000000,0.59490448,9.49648912,9.63040089,9.60752297,9.51744474
0.99000000,-1.07427280,9.12158927,9.52918535,9.19298637,9.06347368
1.99000000,0.84409596,8.62059345,9.00363264,8.79223475,8.62613896
2.99000000,0.87974582,8.12068829,8.12547672,8.43882650,8.21045046
3.99000000,0.64970316,7.66812067,7.47405641,8.07859259,7.81708784
4.99000000,-1.32864585,7.63036005,7.38112603,8.04557179,7.45621742
5.99000000,-1.17565510,7.57783654,7.64725457,7.91632879,7.11470442
6.99000000,1.86521422,6.80407897,6.82267799,6.93259489,6.76817341
7.99000000,0.78132116,6.37446024,6.67835463,6.41429860,6.44861086
8.99000000,0.17973210,6.17999273,6.70933982,6.38866213,6.15239500
9.99000000,2.33486499,5.11958555,5.87905703,5.24419526,5.84708159
10.99000000,1.36941722,4.63585271,5.26743219,4.57100457,5.56905199
11.99000000,1.34254332,4.24033418,4.05714216,4.10278813,5.30582145
12.99000000,-0.21846621,4.28568067,4.43352158,4.36196095,5.08411162
13.99000000,-1.25149794,3.98034166,4.14296439,4.01888139,4.89784233
14.99000000,0.69310603,4.09205983,4.96160948,4.19712913,4.68415246
15.99000000,2.17710823,3.55181800,4.39163608,3.62684858,4.44729380
16.99000000,0.79278583,3.54861757,3.91722981,3.62116306,4.25893120
17.99000000,-0.18546203,3.59430733,4.27684182,3.65729509,4.11282095
18.99000000,2.20312534,3.13962000,3.54301983,3.25804481,3.89836707
19.99000000,1.60514338,2.95661487,3.16385905,2.85326027,3.71463483
20.99000000,0.47076990,2.99688657,3.29374149,2.78736449,3.58842693
21.99000000,0.56762508,3.03299566,3.82538316,2.90586000,3.46773843
22.99000000,1.40846874,2.90562382,4.01075718,2.61651969,3.31442655
23.99000000,0.29292570,2.95370813,4.14278915,2.63931354,3.23079258
24.99000000,0.39403562,3.01239854,4.07091020,2.57099951,3.14902839
25.99000000,0.06266440,3.07318318,4.28401862,2.47013088,3.09512517
26.99000000,-1.28431163,2.35465408,3.20924111,1.19263849,3.13303226
27.99000000,0.43398088,2.71657296,3.70235490,1.93872491,3.05768576
28.99000000,-1.07455194,1.73530150,4.46343868,0.71719468,3.08804024
29.99000000,-0.30832891,1.47116465,4.74643161,0.56916189,3.06445312
30.99000000,-1.87382789,-0.92288281,2.58582247,-1.22202536,3.14588742
31.99000000,1.08861123,0.48214224,3.69964961,-0.15025243,3.02893011
32.99000000,1.74262807,1.91419120,4.05997670,1.64263927,2.87566678
33.99000000,-0.17353186,1.86538072,4.24712381,1.66045813,2.86914912
34.99000000,-1.03202451,0.72171171,4.92097176,0.73674930,2.92733748
35.99000000,0.82366621,1.62772349,5.16397436,1.60696519,2.84309447
36.99000000,0.49452810,2.11663990,4.56691302,2.00527726,2.79009614
37.99000000,-1.94703161,-0.22537208,5.06316033,-0.43900560,2.93360047
38.99000000,1.20722401,1.14562455,4.45313288,1.08991129,2.82156993
39.99000000,-1.22308226,-0.31076519,5.56580935,-0.68442307,2.90247017
40.99000000,-0.40865343,-0.82389207,6.29957183,-1.26048306,2.90975920
41.99000000,1.77295905,1.12026473,6.19655609,0.81110016,2.75812555
42.99000000,1.14525983,1.88948737,5.88295229,1.52925008,2.66080820
43.99000000,-0.74306172,1.30190660,5.42429681,0.83473810,2.73071019
44.99000000,-0.48751531,0.80606517,4.24090101,0.36558273,2.76838184
45.99000000,-2.16405653,-1.31586606,1.05031828,-1.57886662,2.93402443
46.99000000,-0.16441732,-1.50539568,0.90251807,-1.56716604,2.91966182
47.99000000,-3.04411542,-1.48129569,-1.61432469,-1.89063797,3.11404497
48.99000000,0.57608568,-1.09324244,-1.44325564,-1.67849535,3.03146350
49.99000000,-0.89507619,-1.62053457,-1.95083503,-2.09597606,3.05399788
50.99000000,-1.17007204,-1.95928430,-1.89780946,-2.36813974,3.09124404
51.99000000,-1.24019611,-2.11894511,-1.87868415,-2.26992840,3.12696855
52.99000000,-1.31440764,-2.18453719,-2.11403971,-2.21653846,3.16157449
53.99000000,1.36532367,-1.32051553,-1.31124198,-1.52121919,3.02669972
54.99000000,0.23453516,-1.14936924,-1.16017919,-1.36145468,2.97439729
55.99000000,-2.69091070,-1.88385910,-1.77368115,-2.12085438,3.13016103
56.99000000,-1.12762692,-2.04534552,-1.92474017,-1.99006110,3.15260616
57.99000000,-0.46771205,-2.14565492,-2.25271817,-2.09704081,3.13095324
58.99000000,0.81429111,-1.71194254,-2.50703238,-1.60073126,3.03205677
59.99000000,-1.75569404,-2.08864867,-1.93170719,-2.10407433,3.11188361
60.99000000,1.49208877,-0.81764954,-0.97196186,-0.88359385,2.97157408
61.99000000,1.04876168,0.40301584,-0.19748368,0.00958496,2.86836663
62.99000000,-0.30809568,0.04067732,-0.64559598,-0.40625883,2.87278805
63.99000000,0.81929780,1.00224890,0.42747259,0.37219157,2.79297210
64.99000000,-0.33204595,0.65583336,-0.37056331,-0.17307484,2.80933505
65.99000000,-1.88909830,-1.30019480,-1.78538393,-1.61481144,2.94412150
66.99000000,-0.31563939,-1.62938296,-1.79988913,-1.49390228,2.93920937
67.99000000,-0.17671154,-1.84730580,-2.31109288,-1.58849413,2.92504606
68.99000000,1.71168425,0.14610234,-1.97098381,0.30910130,2.77735596
69.99000000,-1.15005961,-1.12475832,-2.28023184,-1.22371480,2.86057646
70.99000000,-0.92742927,-1.84871891,-2.18306056,-2.20878334,2.91241605
71.99000000,-0.45793745,-2.15906875,-2.31937834,-2.43385413,2.92188757
72.99000000,0.11497333,-2.16942525,-2.42729560,-2.48922057,2.88893014
73.99000000,0.09149693,-2.20836459,-2.52291084,-2.64281585,2.86131275
74.99000000,0.60216803,-1.73774233,-1.97387557,-2.21610003,2.79859840
75.99000000,-0.78348179,-2.38338306,-4.28728981,-2.72876158,2.84942187
