t, y, mu, lam, mu_kalman, lam_kalman
0.00000,10.68037,9.82928,0.73542,9.82856,0.73866
0.99000,6.06657,8.35393,0.66344,8.54592,0.81729
1.99000,10.60339,8.78984,0.64248,8.75448,0.79132
2.99000,9.29247,8.65963,0.62194,8.56886,0.79965
3.99000,6.02680,7.52036,0.61874,7.61788,0.79695
4.99000,6.97946,7.09830,0.61772,7.17945,0.79782
5.99000,9.65348,7.70103,0.62856,7.53752,0.79754
6.99000,6.22221,6.96979,0.62085,6.93228,0.79763
7.99000,1.88694,5.08875,0.61668,5.41384,0.79760
8.99000,6.48469,5.37714,0.61406,5.48453,0.79761
9.99000,8.42331,6.19771,0.59508,6.02101,0.79761
10.99000,7.34287,6.37478,0.60513,6.13245,0.79761
11.99000,6.25861,6.12908,0.61110,5.94000,0.79761
12.99000,4.32332,5.33800,0.61267,5.31756,0.79761
13.99000,6.22958,5.45360,0.61019,5.35194,0.79761
14.99000,4.72055,5.03572,0.61234,4.99805,0.79761
15.99000,-0.10973,3.18866,0.61222,3.53464,0.79761
16.99000,0.61193,2.24191,0.61182,2.67261,0.79761
17.99000,2.02438,2.09778,0.61150,2.41241,0.79761
18.99000,3.88776,2.61488,0.61104,2.69420,0.79761
19.99000,3.34662,2.76895,0.61013,2.75934,0.79761
20.99000,5.21213,3.47874,0.61467,3.27355,0.79761
21.99000,-3.55729,1.06748,0.61269,1.44110,0.79761
22.99000,4.66637,2.20953,0.61061,2.19717,0.79761
23.99000,3.84577,2.67307,0.61078,2.53027,0.79761
24.99000,1.92053,2.33959,0.61095,2.28492,0.79761
25.99000,-0.63996,1.28800,0.61095,1.46802,0.79761
26.99000,-2.50929,0.00291,0.61107,0.41706,0.79761
27.99000,2.16169,0.70917,0.61148,0.83929,0.79761
28.99000,2.72968,1.34594,0.61046,1.28263,0.79761
29.99000,-1.96282,0.21853,0.61108,0.42197,0.79761
30.99000,0.89206,0.43120,0.61029,0.52443,0.79761
31.99000,0.14962,0.32423,0.61235,0.41128,0.79761
32.99000,3.66178,1.40492,0.61081,1.21131,0.79761
33.99000,-0.16637,0.84473,0.61092,0.82160,0.79761
34.99000,-0.82523,0.27035,0.61084,0.37863,0.79761
35.99000,1.75962,0.74908,0.61133,0.71108,0.79761
36.99000,1.20683,0.87456,0.61126,0.80940,0.79761
37.99000,7.72401,3.09154,0.61838,2.51366,0.79761
38.99000,3.50537,3.12547,0.61422,2.67048,0.79761
39.99000,4.05140,3.32527,0.61238,2.91916,0.79761
40.99000,1.24674,2.53710,0.61198,2.39313,0.79761
41.99000,-0.17300,1.56789,0.61146,1.66223,0.79761
42.99000,-0.07965,0.97769,0.61124,1.16471,0.79761
43.99000,1.84462,1.22963,0.61211,1.29264,0.79761
44.99000,-4.12580,-0.52890,0.59826,-0.11327,0.79761
45.99000,-0.79102,-0.56122,0.59027,-0.27907,0.79761
46.99000,0.82222,-0.08824,0.60197,0.00727,0.79761
47.99000,0.64588,0.15568,0.60677,0.16714,0.79761
48.99000,-0.94205,-0.19460,0.60689,-0.11710,0.79761
