t, x
0.00000,10.00000
0.00000,10.15901
0.01000,9.94647
0.02000,9.79006
0.03000,9.76636
0.04000,9.68552
0.05000,9.76420
0.06000,9.72942
0.07000,9.92017
0.08000,9.54996
0.09000,9.52761
0.10000,9.52788
0.11000,9.56656
0.12000,9.51945
0.13000,9.44238
0.14000,9.43274
0.15000,9.49333
0.16000,9.45729
0.17000,9.52090
0.18000,9.48219
0.19000,9.51792
0.20000,9.57246
0.21000,9.61689
0.22000,9.53592
0.23000,9.55072
0.24000,9.61274
0.25000,9.54153
0.26000,9.48151
0.27000,9.45120
0.28000,9.40659
0.29000,9.44232
0.30000,9.46814
0.31000,9.34105
0.32000,9.48772
0.33000,9.40439
0.34000,9.28109
0.35000,9.27297
0.36000,9.33007
0.37000,9.37116
0.38000,9.35725
0.39000,9.36047
0.40000,9.57620
0.41000,9.48725
0.42000,9.35599
0.43000,9.57223
0.44000,9.60077
0.45000,9.35187
0.46000,9.36135
0.47000,9.35093
0.48000,9.26615
0.49000,9.15292
0.50000,9.06892
0.51000,9.19662
0.52000,9.45524
0.53000,9.40903
0.54000,9.45140
0.55000,9.50087
0.56000,9.33151
0.57000,9.41487
0.58000,9.49883
0.59000,9.45472
0.60000,9.35689
0.61000,9.24967
0.62000,9.36189
0.63000,9.37331
0.64000,9.22688
0.65000,8.98606
0.66000,9.11734
0.67000,9.13523
0.68000,9.22380
0.69000,9.12467
0.70000,9.08747
0.71000,8.95877
0.72000,8.89411
0.73000,8.86833
0.74000,8.86531
0.75000,9.02923
0.76000,9.05838
0.77000,9.01394
0.78000,8.92936
0.79000,8.87127
0.80000,8.92663
0.81000,9.07265
0.82000,8.98463
0.83000,9.11101
0.84000,8.93894
0.85000,9.08991
0.86000,8.92200
0.87000,8.85850
0.88000,8.89144
0.89000,8.75753
0.90000,8.76662
0.91000,8.87643
0.92000,8.83915
0.93000,8.90702
0.94000,8.69959
0.95000,8.72435
0.96000,8.76176
0.97000,8.65004
0.98000,8.48540
0.99000,8.39060
1.00000,8.51194
1.01000,8.55475
1.02000,8.47241
1.03000,8.41165
1.04000,8.35371
1.05000,8.27043
1.06000,8.28216
1.07000,8.31534
1.08000,8.36524
1.09000,8.55093
1.10000,8.33739
1.11000,8.33052
1.12000,8.23914
1.13000,8.29922
1.14000,8.25381
1.15000,8.17975
1.16000,8.32591
1.17000,8.34539
1.18000,8.29056
1.19000,8.13676
1.20000,8.07688
1.21000,8.12513
1.22000,8.33026
1.23000,8.41247
1.24000,8.35664
1.25000,8.56894
1.26000,8.44054
1.27000,8.29336
1.28000,8.23226
1.29000,8.06220
1.30000,8.06808
1.31000,8.01522
1.32000,7.90449
1.33000,7.94424
1.34000,7.88400
1.35000,7.87764
1.36000,7.92132
1.37000,7.93863
1.38000,7.88759
1.39000,7.77407
1.40000,7.68734
1.41000,7.58127
1.42000,7.56594
1.43000,7.65655
1.44000,7.51981
1.45000,7.50224
1.46000,7.46851
1.47000,7.52981
1.48000,7.52346
1.49000,7.48004
1.50000,7.52071
1.51000,7.61603
1.52000,7.75980
1.53000,7.80340
1.54000,7.91270
1.55000,7.75936
1.56000,7.86933
1.57000,7.79425
1.58000,7.79972
1.59000,7.69807
1.60000,7.58766
1.61000,7.72257
1.62000,7.62602
1.63000,7.65235
1.64000,7.79963
1.65000,7.89052
1.66000,7.90659
1.67000,7.93472
1.68000,7.98226
1.69000,7.93967
1.70000,7.75016
1.71000,7.83408
1.72000,7.76229
1.73000,7.82016
1.74000,7.69583
1.75000,7.80873
1.76000,7.83686
1.77000,7.82410
1.78000,7.75221
1.79000,8.01994
1.80000,7.95552
1.81000,7.91128
1.82000,8.05702
1.83000,8.12084
1.84000,8.12443
1.85000,7.99126
1.86000,8.02542
1.87000,8.10520
1.88000,7.94210
1.89000,7.92265
1.90000,7.88349
1.91000,7.85940
1.92000,7.76895
1.93000,7.77897
1.94000,7.78081
1.95000,7.90323
1.96000,7.94858
1.97000,7.85274
1.98000,7.69967
1.99000,7.90118
2.00000,7.82530
2.01000,7.93900
2.02000,7.90398
2.03000,7.80998
2.04000,7.70193
2.05000,7.80334
2.06000,7.73325
2.07000,7.76850
2.08000,7.89577
2.09000,7.88691
2.10000,7.82977
2.11000,7.73566
2.12000,7.59438
2.13000,7.62852
2.14000,7.42448
2.15000,7.41299
2.16000,7.28387
2.17000,7.10106
2.18000,7.09995
2.19000,7.11447
2.20000,7.24429
2.21000,7.26068
2.22000,7.09874
2.23000,7.02395
2.24000,7.05324
2.25000,7.07451
2.26000,7.23187
2.27000,7.08619
2.28000,7.09134
2.29000,7.07626
2.30000,6.96044
2.31000,7.01734
2.32000,6.92969
2.33000,6.99393
2.34000,6.91193
2.35000,6.82844
2.36000,6.92257
2.37000,6.82597
2.38000,6.82438
2.39000,6.80743
2.40000,6.89595
2.41000,6.83010
2.42000,6.79456
2.43000,6.68888
2.44000,6.60054
2.45000,6.87096
2.46000,7.03988
2.47000,6.83471
2.48000,6.96479
2.49000,7.00368
2.50000,7.03783
2.51000,7.04103
2.52000,6.92633
2.53000,6.79226
2.54000,6.69604
2.55000,6.65435
2.56000,6.64879
2.57000,6.61505
2.58000,6.68387
2.59000,6.62314
2.60000,6.62148
2.61000,6.77406
2.62000,6.78821
2.63000,6.70741
2.64000,6.79966
2.65000,6.98177
2.66000,7.05708
2.67000,7.05025
2.68000,7.13629
2.69000,7.12156
2.70000,7.16100
2.71000,7.15636
2.72000,7.10927
2.73000,7.18986
2.74000,7.15804
2.75000,7.17112
2.76000,7.08838
2.77000,7.02716
2.78000,7.07214
2.79000,7.16163
2.80000,7.27241
2.81000,7.06898
2.82000,7.00587
2.83000,7.01800
2.84000,7.05355
2.85000,7.00862
2.86000,7.05746
2.87000,7.14954
2.88000,7.17723
2.89000,7.19084
2.90000,7.30602
2.91000,7.35819
2.92000,7.39155
2.93000,7.40254
2.94000,7.38455
2.95000,7.37101
2.96000,7.42775
2.97000,7.44271
2.98000,7.48559
2.99000,7.65094
3.00000,7.67574
3.01000,7.76118
3.02000,7.88715
3.03000,8.03106
3.04000,8.11133
3.05000,8.18906
3.06000,8.26598
3.07000,8.29860
3.08000,8.28815
3.09000,8.40928
3.10000,8.49611
3.11000,8.43504
3.12000,8.49227
3.13000,8.38389
